Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
674,San Marino,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8
674,San Marino,2021,All staff compensation as % of total expenditure in public institutions (%),89.6
674,San Marino,2021,Capital expenditure as % of total expenditure in public institutions (%),0.6
674,San Marino,2021,Basic access to computers by level of education: Primary,100.0
674,San Marino,2021,Basic access to computers by level of education: Lower secondary,100
674,San Marino,2021,Basic access to computers by level of education: Upper secondary,100
674,San Marino,2022,Basic access to computers by level of education: Primary,100.0
674,San Marino,2022,Basic access to computers by level of education: Lower secondary,100
674,San Marino,2022,Basic access to computers by level of education: Upper secondary,100
678,Sao Tome and Principe,2017,Basic access to computers by level of education: Primary,58.7
678,Sao Tome and Principe,2017,Basic access to computers by level of education: Lower secondary,90
678,Sao Tome and Principe,2017,Basic access to computers by level of education: Upper secondary,100
682,Saudi Arabia,2015,Basic access to computers by level of education: Primary,100.0
682,Saudi Arabia,2022,Basic access to computers by level of education: Primary,100.0
682,Saudi Arabia,2022,Basic access to computers by level of education: Lower secondary,100
682,Saudi Arabia,2022,Basic access to computers by level of education: Upper secondary,100
686,Senegal,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.3
686,Senegal,2010,All staff compensation as % of total expenditure in public institutions (%),72.6
686,Senegal,2010,Capital expenditure as % of total expenditure in public institutions (%),9.1
686,Senegal,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
686,Senegal,2015,All staff compensation as % of total expenditure in public institutions (%),61.7
686,Senegal,2015,Capital expenditure as % of total expenditure in public institutions (%),14.7
686,Senegal,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.2
686,Senegal,2016,All staff compensation as % of total expenditure in public institutions (%),67.8
686,Senegal,2016,Capital expenditure as % of total expenditure in public institutions (%),5.0
686,Senegal,2022,Basic access to computers by level of education: Primary,18.8
686,Senegal,2022,Basic access to computers by level of education: Lower secondary,84
686,Senegal,2022,Basic access to computers by level of education: Upper secondary,90
688,Serbia,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.1
688,Serbia,2009,All staff compensation as % of total expenditure in public institutions (%),76.2
688,Serbia,2009,Capital expenditure as % of total expenditure in public institutions (%),2.7
688,Serbia,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.4
688,Serbia,2011,All staff compensation as % of total expenditure in public institutions (%),75.0
688,Serbia,2011,Capital expenditure as % of total expenditure in public institutions (%),2.6
688,Serbia,2015,Basic access to computers by level of education: Primary,27.1
688,Serbia,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6
688,Serbia,2021,All staff compensation as % of total expenditure in public institutions (%),80.7
688,Serbia,2021,Capital expenditure as % of total expenditure in public institutions (%),2.6
688,Serbia,2021,Basic access to computers by level of education: Primary,42.0
690,Seychelles,2003,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
690,Seychelles,2003,All staff compensation as % of total expenditure in public institutions (%),59.3
690,Seychelles,2003,Capital expenditure as % of total expenditure in public institutions (%),8.9
690,Seychelles,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.8
690,Seychelles,2006,All staff compensation as % of total expenditure in public institutions (%),56.7
690,Seychelles,2006,Capital expenditure as % of total expenditure in public institutions (%),13.5
690,Seychelles,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.2
690,Seychelles,2015,All staff compensation as % of total expenditure in public institutions (%),32.8
690,Seychelles,2015,Capital expenditure as % of total expenditure in public institutions (%),3.9
690,Seychelles,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),64.5
690,Seychelles,2016,All staff compensation as % of total expenditure in public institutions (%),30.2
690,Seychelles,2016,Capital expenditure as % of total expenditure in public institutions (%),5.2
690,Seychelles,2016,Basic access to computers by level of education: Primary,100.0
690,Seychelles,2016,Basic access to computers by level of education: Lower secondary,100
690,Seychelles,2016,Basic access to computers by level of education: Upper secondary,100
690,Seychelles,2022,Basic access to computers by level of education: Primary,100.0
690,Seychelles,2022,Basic access to computers by level of education: Lower secondary,100
690,Seychelles,2022,Basic access to computers by level of education: Upper secondary,100
694,Sierra Leone,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.3
694,Sierra Leone,2010,All staff compensation as % of total expenditure in public institutions (%),69.1
694,Sierra Leone,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5
694,Sierra Leone,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.5
694,Sierra Leone,2011,All staff compensation as % of total expenditure in public institutions (%),74.3
694,Sierra Leone,2011,Capital expenditure as % of total expenditure in public institutions (%),1.2
694,Sierra Leone,2014,Capital expenditure as % of total expenditure in public institutions (%),0.5
694,Sierra Leone,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.3
694,Sierra Leone,2021,All staff compensation as % of total expenditure in public institutions (%),59.9
694,Sierra Leone,2021,Capital expenditure as % of total expenditure in public institutions (%),22.8
694,Sierra Leone,2021,Basic access to computers by level of education: Primary,1.0
694,Sierra Leone,2021,Basic access to computers by level of education: Lower secondary,5
694,Sierra Leone,2021,Basic access to computers by level of education: Upper secondary,10
694,Sierra Leone,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.5
694,Sierra Leone,2022,All staff compensation as % of total expenditure in public institutions (%),57.0
694,Sierra Leone,2022,Capital expenditure as % of total expenditure in public institutions (%),24.5
702,Singapore,2010,Capital expenditure as % of total expenditure in public institutions (%),9.2
702,Singapore,2013,Capital expenditure as % of total expenditure in public institutions (%),8.2
702,Singapore,2015,Basic access to computers by level of education: Primary,81.3
702,Singapore,2021,Basic access to computers by level of education: Primary,100.0
702,Singapore,2021,Basic access to computers by level of education: Lower secondary,100
702,Singapore,2021,Basic access to computers by level of education: Upper secondary,100
534,Sint Maarten (Dutch part),2010,Basic access to computers by level of education: Primary,100.0
534,Sint Maarten (Dutch part),2010,Basic access to computers by level of education: Lower secondary,100
534,Sint Maarten (Dutch part),2010,Basic access to computers by level of education: Upper secondary,100
703,Slovakia,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.1
703,Slovakia,2005,All staff compensation as % of total expenditure in public institutions (%),60.2
703,Slovakia,2005,Capital expenditure as % of total expenditure in public institutions (%),5.6
703,Slovakia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.8
703,Slovakia,2010,All staff compensation as % of total expenditure in public institutions (%),57.0
703,Slovakia,2010,Capital expenditure as % of total expenditure in public institutions (%),12.2
703,Slovakia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.0
703,Slovakia,2015,All staff compensation as % of total expenditure in public institutions (%),53.0
703,Slovakia,2015,Capital expenditure as % of total expenditure in public institutions (%),15.0
703,Slovakia,2015,Basic access to computers by level of education: Primary,100.0
703,Slovakia,2015,Basic access to computers by level of education: Lower secondary,100
703,Slovakia,2015,Basic access to computers by level of education: Upper secondary,100
703,Slovakia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.8
703,Slovakia,2020,All staff compensation as % of total expenditure in public institutions (%),66.4
703,Slovakia,2020,Capital expenditure as % of total expenditure in public institutions (%),5.8
703,Slovakia,2020,Basic access to computers by level of education: Primary,100.0
703,Slovakia,2020,Basic access to computers by level of education: Lower secondary,100
703,Slovakia,2020,Basic access to computers by level of education: Upper secondary,100
703,Slovakia,2022,Basic access to computers by level of education: Primary,100.0
703,Slovakia,2022,Basic access to computers by level of education: Lower secondary,100
703,Slovakia,2022,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.6
705,Slovenia,2005,All staff compensation as % of total expenditure in public institutions (%),69.4
705,Slovenia,2005,Capital expenditure as % of total expenditure in public institutions (%),10.0
705,Slovenia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3
705,Slovenia,2010,All staff compensation as % of total expenditure in public institutions (%),70.0
705,Slovenia,2010,Capital expenditure as % of total expenditure in public institutions (%),8.7
705,Slovenia,2010,Basic access to computers by level of education: Primary,100.0
705,Slovenia,2010,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2010,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.3
705,Slovenia,2015,All staff compensation as % of total expenditure in public institutions (%),69.6
705,Slovenia,2015,Capital expenditure as % of total expenditure in public institutions (%),8.2
705,Slovenia,2015,Basic access to computers by level of education: Primary,100.0
705,Slovenia,2015,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2015,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.8
705,Slovenia,2020,All staff compensation as % of total expenditure in public institutions (%),75.4
705,Slovenia,2020,Capital expenditure as % of total expenditure in public institutions (%),7.9
705,Slovenia,2020,Basic access to computers by level of education: Primary,100.0
705,Slovenia,2020,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2020,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2022,Basic access to computers by level of education: Primary,100.0
705,Slovenia,2022,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2022,Basic access to computers by level of education: Upper secondary,100
90,Solomon Islands,2019,Basic access to computers by level of education: Primary,13.2
90,Solomon Islands,2019,Basic access to computers by level of education: Lower secondary,30
90,Solomon Islands,2019,Basic access to computers by level of education: Upper secondary,42
710,South Africa,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
710,South Africa,2005,All staff compensation as % of total expenditure in public institutions (%),66.3
710,South Africa,2005,Capital expenditure as % of total expenditure in public institutions (%),2.9
710,South Africa,2006,All staff compensation as % of total expenditure in public institutions (%),69.8
710,South Africa,2006,Capital expenditure as % of total expenditure in public institutions (%),3.5
710,South Africa,2009,Capital expenditure as % of total expenditure in public institutions (%),3.8
710,South Africa,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.5
710,South Africa,2014,All staff compensation as % of total expenditure in public institutions (%),67.2
710,South Africa,2014,Capital expenditure as % of total expenditure in public institutions (%),3.3
710,South Africa,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.8
710,South Africa,2021,All staff compensation as % of total expenditure in public institutions (%),69.7
710,South Africa,2021,Capital expenditure as % of total expenditure in public institutions (%),3.5
710,South Africa,2021,Basic access to computers by level of education: Primary,10.1
710,South Africa,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.8
710,South Africa,2022,All staff compensation as % of total expenditure in public institutions (%),71.0
710,South Africa,2022,Capital expenditure as % of total expenditure in public institutions (%),3.2
728,South Sudan,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.6
728,South Sudan,2014,All staff compensation as % of total expenditure in public institutions (%),48.8
728,South Sudan,2014,Capital expenditure as % of total expenditure in public institutions (%),16.5
728,South Sudan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),75.5
728,South Sudan,2015,All staff compensation as % of total expenditure in public institutions (%),24.5
728,South Sudan,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
728,South Sudan,2016,All staff compensation as % of total expenditure in public institutions (%),93.5
724,Spain,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7
724,Spain,2005,All staff compensation as % of total expenditure in public institutions (%),73.5
724,Spain,2005,Capital expenditure as % of total expenditure in public institutions (%),9.8
724,Spain,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.7
724,Spain,2010,All staff compensation as % of total expenditure in public institutions (%),71.6
724,Spain,2010,Capital expenditure as % of total expenditure in public institutions (%),10.8
724,Spain,2010,Basic access to computers by level of education: Primary,100.0
724,Spain,2010,Basic access to computers by level of education: Lower secondary,100
724,Spain,2010,Basic access to computers by level of education: Upper secondary,100
724,Spain,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.2
724,Spain,2015,All staff compensation as % of total expenditure in public institutions (%),76.5
724,Spain,2015,Capital expenditure as % of total expenditure in public institutions (%),5.3
724,Spain,2015,Basic access to computers by level of education: Primary,100.0
724,Spain,2015,Basic access to computers by level of education: Lower secondary,100
724,Spain,2015,Basic access to computers by level of education: Upper secondary,100
724,Spain,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.1
724,Spain,2020,All staff compensation as % of total expenditure in public institutions (%),77.4
724,Spain,2020,Capital expenditure as % of total expenditure in public institutions (%),5.4
724,Spain,2020,Basic access to computers by level of education: Primary,100.0
724,Spain,2020,Basic access to computers by level of education: Lower secondary,100
724,Spain,2020,Basic access to computers by level of education: Upper secondary,100
724,Spain,2021,Basic access to computers by level of education: Primary,100.0
724,Spain,2021,Basic access to computers by level of education: Lower secondary,100
724,Spain,2021,Basic access to computers by level of education: Upper secondary,100
144,Sri Lanka,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9
144,Sri Lanka,2010,All staff compensation as % of total expenditure in public institutions (%),75.5
144,Sri Lanka,2010,Capital expenditure as % of total expenditure in public institutions (%),14.6
144,Sri Lanka,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.3
144,Sri Lanka,2015,All staff compensation as % of total expenditure in public institutions (%),62.4
144,Sri Lanka,2015,Capital expenditure as % of total expenditure in public institutions (%),19.3
144,Sri Lanka,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.0
144,Sri Lanka,2018,All staff compensation as % of total expenditure in public institutions (%),50.7
144,Sri Lanka,2018,Capital expenditure as % of total expenditure in public institutions (%),25.3
144,Sri Lanka,2018,Basic access to computers by level of education: Primary,50.1
144,Sri Lanka,2018,Basic access to computers by level of education: Lower secondary,71
144,Sri Lanka,2021,Basic access to computers by level of education: Primary,75.1
144,Sri Lanka,2021,Basic access to computers by level of education: Lower secondary,89
144,Sri Lanka,2021,Basic access to computers by level of education: Upper secondary,89
275,State of Palestine,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.3
275,State of Palestine,2015,All staff compensation as % of total expenditure in public institutions (%),85.2
275,State of Palestine,2015,Capital expenditure as % of total expenditure in public institutions (%),3.5
275,State of Palestine,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.9
275,State of Palestine,2021,All staff compensation as % of total expenditure in public institutions (%),92.9
275,State of Palestine,2021,Capital expenditure as % of total expenditure in public institutions (%),2.2
275,State of Palestine,2021,Basic access to computers by level of education: Primary,83.5
275,State of Palestine,2021,Basic access to computers by level of education: Lower secondary,95
275,State of Palestine,2021,Basic access to computers by level of education: Upper secondary,99
275,State of Palestine,2022,Basic access to computers by level of education: Primary,90.1
275,State of Palestine,2022,Basic access to computers by level of education: Lower secondary,94
275,State of Palestine,2022,Basic access to computers by level of education: Upper secondary,97
729,Sudan,2016,Basic access to computers by level of education: Upper secondary,100
752,Sweden,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4
752,Sweden,2005,All staff compensation as % of total expenditure in public institutions (%),65.0
752,Sweden,2005,Capital expenditure as % of total expenditure in public institutions (%),6.6
752,Sweden,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.3
752,Sweden,2010,All staff compensation as % of total expenditure in public institutions (%),63.1
752,Sweden,2010,Capital expenditure as % of total expenditure in public institutions (%),5.6
752,Sweden,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.6
752,Sweden,2015,All staff compensation as % of total expenditure in public institutions (%),65.3
752,Sweden,2015,Capital expenditure as % of total expenditure in public institutions (%),5.1
752,Sweden,2015,Basic access to computers by level of education: Primary,87.2
752,Sweden,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.7
752,Sweden,2020,All staff compensation as % of total expenditure in public institutions (%),66.7
752,Sweden,2020,Capital expenditure as % of total expenditure in public institutions (%),4.6
752,Sweden,2020,Basic access to computers by level of education: Primary,100.0
752,Sweden,2020,Basic access to computers by level of education: Lower secondary,100
752,Sweden,2020,Basic access to computers by level of education: Upper secondary,100
752,Sweden,2021,Basic access to computers by level of education: Primary,100.0
752,Sweden,2021,Basic access to computers by level of education: Lower secondary,100
752,Sweden,2021,Basic access to computers by level of education: Upper secondary,100
756,Switzerland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5
756,Switzerland,2005,All staff compensation as % of total expenditure in public institutions (%),75.3
756,Switzerland,2005,Capital expenditure as % of total expenditure in public institutions (%),9.1
756,Switzerland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2
756,Switzerland,2010,All staff compensation as % of total expenditure in public institutions (%),75.2
756,Switzerland,2010,Capital expenditure as % of total expenditure in public institutions (%),8.6
756,Switzerland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.4
756,Switzerland,2015,All staff compensation as % of total expenditure in public institutions (%),74.3
756,Switzerland,2015,Capital expenditure as % of total expenditure in public institutions (%),10.2
756,Switzerland,2015,Basic access to computers by level of education: Primary,100.0
756,Switzerland,2015,Basic access to computers by level of education: Lower secondary,100
756,Switzerland,2015,Basic access to computers by level of education: Upper secondary,100
756,Switzerland,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.3
756,Switzerland,2016,All staff compensation as % of total expenditure in public institutions (%),74.1
756,Switzerland,2016,Capital expenditure as % of total expenditure in public institutions (%),10.6
756,Switzerland,2016,Basic access to computers by level of education: Primary,100.0
756,Switzerland,2016,Basic access to computers by level of education: Lower secondary,100
756,Switzerland,2016,Basic access to computers by level of education: Upper secondary,100
756,Switzerland,2019,Basic access to computers by level of education: Primary,100.0
756,Switzerland,2019,Basic access to computers by level of education: Lower secondary,100
756,Switzerland,2019,Basic access to computers by level of education: Upper secondary,100
760,Syrian Arab Republic,2023,Basic access to computers by level of education: Primary,54.8
760,Syrian Arab Republic,2023,Basic access to computers by level of education: Lower secondary,53
760,Syrian Arab Republic,2023,Basic access to computers by level of education: Upper secondary,74
762,Tajikistan,2015,Capital expenditure as % of total expenditure in public institutions (%),14.0
764,Thailand,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.8
764,Thailand,2010,All staff compensation as % of total expenditure in public institutions (%),50.9
764,Thailand,2010,Capital expenditure as % of total expenditure in public institutions (%),3.3
764,Thailand,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),54.5
764,Thailand,2011,All staff compensation as % of total expenditure in public institutions (%),39.5
764,Thailand,2011,Capital expenditure as % of total expenditure in public institutions (%),6.0
764,Thailand,2011,Basic access to computers by level of education: Primary,98.8
764,Thailand,2011,Basic access to computers by level of education: Lower secondary,100
764,Thailand,2011,Basic access to computers by level of education: Upper secondary,89
764,Thailand,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
764,Thailand,2014,All staff compensation as % of total expenditure in public institutions (%),62.5
764,Thailand,2014,Capital expenditure as % of total expenditure in public institutions (%),5.7
764,Thailand,2023,Basic access to computers by level of education: Primary,99.9
764,Thailand,2023,Basic access to computers by level of education: Lower secondary,100
764,Thailand,2023,Basic access to computers by level of education: Upper secondary,100
626,Timor-Leste,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),52.5
626,Timor-Leste,2010,All staff compensation as % of total expenditure in public institutions (%),37.8
626,Timor-Leste,2010,Capital expenditure as % of total expenditure in public institutions (%),9.7
626,Timor-Leste,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),46.4
626,Timor-Leste,2014,All staff compensation as % of total expenditure in public institutions (%),49.5
626,Timor-Leste,2014,Capital expenditure as % of total expenditure in public institutions (%),4.0
768,Togo,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
768,Togo,2000,All staff compensation as % of total expenditure in public institutions (%),69.1
768,Togo,2000,Capital expenditure as % of total expenditure in public institutions (%),10.0
768,Togo,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.7
768,Togo,2010,All staff compensation as % of total expenditure in public institutions (%),74.7
768,Togo,2010,Capital expenditure as % of total expenditure in public institutions (%),10.6
768,Togo,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.0
768,Togo,2015,All staff compensation as % of total expenditure in public institutions (%),90.5
768,Togo,2015,Capital expenditure as % of total expenditure in public institutions (%),2.5
768,Togo,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.1
768,Togo,2016,All staff compensation as % of total expenditure in public institutions (%),90.5
768,Togo,2016,Capital expenditure as % of total expenditure in public institutions (%),2.4
768,Togo,2022,Basic access to computers by level of education: Primary,3.3
768,Togo,2022,Basic access to computers by level of education: Lower secondary,42
768,Togo,2022,Basic access to computers by level of education: Upper secondary,84
772,Tokelau,2023,Basic access to computers by level of education: Primary,100.0
772,Tokelau,2023,Basic access to computers by level of education: Lower secondary,100
772,Tokelau,2023,Basic access to computers by level of education: Upper secondary,100
776,Tonga,2022,Basic access to computers by level of education: Primary,46.9
776,Tonga,2022,Basic access to computers by level of education: Lower secondary,74
776,Tonga,2022,Basic access to computers by level of education: Upper secondary,76
780,Trinidad and Tobago,2016,Basic access to computers by level of education: Primary,11.7
780,Trinidad and Tobago,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),37.2
780,Trinidad and Tobago,2021,All staff compensation as % of total expenditure in public institutions (%),56.3
780,Trinidad and Tobago,2021,Capital expenditure as % of total expenditure in public institutions (%),6.5
788,Tunisia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.2
788,Tunisia,2000,All staff compensation as % of total expenditure in public institutions (%),77.3
788,Tunisia,2000,Capital expenditure as % of total expenditure in public institutions (%),14.5
788,Tunisia,2002,Capital expenditure as % of total expenditure in public institutions (%),11.6
788,Tunisia,2010,Capital expenditure as % of total expenditure in public institutions (%),10.4
788,Tunisia,2022,Basic access to computers by level of education: Primary,94.9
788,Tunisia,2022,Basic access to computers by level of education: Lower secondary,100
788,Tunisia,2022,Basic access to computers by level of education: Upper secondary,95
792,Türkiye,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2
792,Türkiye,2015,All staff compensation as % of total expenditure in public institutions (%),68.0
792,Türkiye,2015,Capital expenditure as % of total expenditure in public institutions (%),15.8
792,Türkiye,2015,Basic access to computers by level of education: Primary,100.0
792,Türkiye,2015,Basic access to computers by level of education: Lower secondary,100
792,Türkiye,2015,Basic access to computers by level of education: Upper secondary,100
792,Türkiye,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),67.5
792,Türkiye,2020,All staff compensation as % of total expenditure in public institutions (%),285.1
792,Türkiye,2020,Capital expenditure as % of total expenditure in public institutions (%),32.5
792,Türkiye,2020,Basic access to computers by level of education: Primary,100.0
792,Türkiye,2020,Basic access to computers by level of education: Lower secondary,100
792,Türkiye,2020,Basic access to computers by level of education: Upper secondary,100
792,Türkiye,2022,Basic access to computers by level of education: Primary,100.0
792,Türkiye,2022,Basic access to computers by level of education: Lower secondary,100
792,Türkiye,2022,Basic access to computers by level of education: Upper secondary,100
795,Turkmenistan,2012,Capital expenditure as % of total expenditure in public institutions (%),33.7
795,Turkmenistan,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.7
795,Turkmenistan,2020,All staff compensation as % of total expenditure in public institutions (%),84.8
795,Turkmenistan,2020,Capital expenditure as % of total expenditure in public institutions (%),2.5
795,Turkmenistan,2020,Basic access to computers by level of education: Primary,97.6
795,Turkmenistan,2020,Basic access to computers by level of education: Lower secondary,98
795,Turkmenistan,2020,Basic access to computers by level of education: Upper secondary,98
795,Turkmenistan,2022,Capital expenditure as % of total expenditure in public institutions (%),2.0
795,Turkmenistan,2022,Basic access to computers by level of education: Primary,99.1
795,Turkmenistan,2022,Basic access to computers by level of education: Lower secondary,99
795,Turkmenistan,2022,Basic access to computers by level of education: Upper secondary,99
796,Turks and Caicos Islands,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.7
796,Turks and Caicos Islands,2005,All staff compensation as % of total expenditure in public institutions (%),69.5
796,Turks and Caicos Islands,2005,Capital expenditure as % of total expenditure in public institutions (%),16.8
796,Turks and Caicos Islands,2010,Basic access to computers by level of education: Primary,100.0
796,Turks and Caicos Islands,2010,Basic access to computers by level of education: Lower secondary,100
796,Turks and Caicos Islands,2010,Basic access to computers by level of education: Upper secondary,100
796,Turks and Caicos Islands,2015,Capital expenditure as % of total expenditure in public institutions (%),17.6
796,Turks and Caicos Islands,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
796,Turks and Caicos Islands,2018,All staff compensation as % of total expenditure in public institutions (%),74.6
796,Turks and Caicos Islands,2018,Capital expenditure as % of total expenditure in public institutions (%),18.8
796,Turks and Caicos Islands,2018,Basic access to computers by level of education: Primary,96.6
796,Turks and Caicos Islands,2018,Basic access to computers by level of education: Lower secondary,85
796,Turks and Caicos Islands,2018,Basic access to computers by level of education: Upper secondary,85
796,Turks and Caicos Islands,2022,Basic access to computers by level of education: Primary,100.0
796,Turks and Caicos Islands,2022,Basic access to computers by level of education: Lower secondary,94
796,Turks and Caicos Islands,2022,Basic access to computers by level of education: Upper secondary,100
798,Tuvalu,2022,Basic access to computers by level of education: Primary,100.0
798,Tuvalu,2022,Basic access to computers by level of education: Lower secondary,100
798,Tuvalu,2022,Basic access to computers by level of education: Upper secondary,100
800,Uganda,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.1
800,Uganda,2004,All staff compensation as % of total expenditure in public institutions (%),62.7
800,Uganda,2004,Capital expenditure as % of total expenditure in public institutions (%),25.2
800,Uganda,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),51.1
800,Uganda,2010,All staff compensation as % of total expenditure in public institutions (%),35.5
800,Uganda,2010,Capital expenditure as % of total expenditure in public institutions (%),13.4
800,Uganda,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),48.3
800,Uganda,2014,All staff compensation as % of total expenditure in public institutions (%),39.1
800,Uganda,2014,Capital expenditure as % of total expenditure in public institutions (%),12.6
804,Ukraine,2000,Capital expenditure as % of total expenditure in public institutions (%),8.3
804,Ukraine,2014,Capital expenditure as % of total expenditure in public institutions (%),2.2
804,Ukraine,2020,Capital expenditure as % of total expenditure in public institutions (%),4.7
804,Ukraine,2020,Basic access to computers by level of education: Primary,96.9
804,Ukraine,2020,Basic access to computers by level of education: Lower secondary,100
804,Ukraine,2020,Basic access to computers by level of education: Upper secondary,100
804,Ukraine,2021,Basic access to computers by level of education: Primary,98.9
804,Ukraine,2021,Basic access to computers by level of education: Lower secondary,100
804,Ukraine,2021,Basic access to computers by level of education: Upper secondary,100
784,United Arab Emirates,2015,Basic access to computers by level of education: Primary,77.5
784,United Arab Emirates,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.1
784,United Arab Emirates,2020,All staff compensation as % of total expenditure in public institutions (%),44.7
784,United Arab Emirates,2020,Capital expenditure as % of total expenditure in public institutions (%),26.1
784,United Arab Emirates,2020,Basic access to computers by level of education: Primary,100.0
784,United Arab Emirates,2020,Basic access to computers by level of education: Lower secondary,100
784,United Arab Emirates,2020,Basic access to computers by level of education: Upper secondary,100
784,United Arab Emirates,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.7
784,United Arab Emirates,2021,All staff compensation as % of total expenditure in public institutions (%),44.8
784,United Arab Emirates,2021,Capital expenditure as % of total expenditure in public institutions (%),20.5
784,United Arab Emirates,2021,Basic access to computers by level of education: Primary,91.1
826,United Kingdom,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.5
826,United Kingdom,2005,All staff compensation as % of total expenditure in public institutions (%),73.5
826,United Kingdom,2005,Capital expenditure as % of total expenditure in public institutions (%),8.0
826,United Kingdom,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.8
